T sample	Des	err Des
K	D/m2/s	D/m2/s
324.05757	0	1.15E+15
324.12571	0	1.29E+15
324.26198	0	1.28E+15
324.26198	0	1.12E+15
323.71684	0	1.17E+15
323.85314	0	1.14E+15
323.78499	0	1.14E+15
324.19385	0	1.16E+15
323.57897	0	9.21E+14
323.85314	0	1.16E+15
323.78499	0	1.13E+15
323.57897	0	1.14E+15
324.26198	0	1.09E+15
323.64868	0	1.48E+15
323.85314	0	1.42E+15
323.64868	0	1.27E+15
323.98943	0	1.28E+15
324.05757	0	1.26E+15
324.05757	0	1.17E+15
324.19385	0	9.06E+14
323.71684	0	1.25E+15
323.92128	0	1.27E+15
323.85314	0	1.07E+15
323.98943	0	1.15E+15
323.85314	0	1.21E+15
323.85314	0	1.18E+15
323.64868	0	1.32E+15
323.71684	0	1.09E+15
323.71684	0	1.19E+15
324.33166	0	1.18E+15
323.98943	0	1.28E+15
323.64868	0	1.31E+15
324.12571	0	1.24E+15
323.92128	0	1.31E+15
324.12571	0	1.35E+15
323.51081	0	1.38E+15
323.44265	0	1.63E+15
323.57897	0	1.66E+15
323.16998	0	2.05E+15
323.10181	0	1.81E+15
323.30632	0	2.01E+15
324.26198	0	1.81E+15
323.78499	0	1.82E+15
324.19385	0	1.75E+15
324.05757	0	1.83E+15
324.05757	0	1.83E+15
325.1506	0	1.73E+15
325.49108	0	1.90E+15
327.19712	0	2.00E+15
327.53876	0	2.14E+15
329.03745	0	2.05E+15
329.9237	0	2.26E+15
331.35247	0	2.32E+15
332.84937	0	2.37E+15
333.66431	0	2.37E+15
335.56526	0	2.47E+15
337.26112	0	2.54E+15
338.75096	0	2.67E+15
340.03689	0	2.63E+15
341.52554	0	2.81E+15
343.01115	0	2.78E+15
344.90196	0	2.96E+15
346.51846	0	3.13E+15
348.00039	0	3.08E+15
349.74887	0	3.07E+15
351.22576	0	3.18E+15
353.03688	0	3.39E+15
354.84549	0	3.43E+15
356.38481	0	3.46E+15
358.38841	0	3.56E+15
360.05636	0	3.55E+15
361.38846	0	3.78E+15
363.98347	0	3.72E+15
365.44356	0	3.84E+15
366.96943	0	3.95E+15
368.02807	0	3.88E+15
370.4749	0	4.11E+15
372.39023	0	4.18E+15
373.90515	0	4.19E+15
376.14227	0	4.13E+15
377.91519	0	4.22E+15
379.61978	0	4.24E+15
381.45201	0	4.34E+15
383.21586	0	4.34E+15
384.91163	0	4.41E+15
386.60452	0	4.74E+15
388.94348	0	4.54E+15
390.69401	0	4.60E+15
392.44135	0	4.50E+15
394.38004	0	4.67E+15
396.18479	0	4.66E+15
398.50022	0	4.80E+15
400.29689	0	4.74E+15
402.15381	0	4.66E+15
403.8795	0	4.82E+15
405.1553	0	4.84E+15
408.59153	0	4.81E+15
410.43239	0	4.86E+15
412.8998	0	4.85E+15
414.85709	0	4.89E+15
416.62014	0	4.90E+15
418.56724	0	4.92E+15
420.00997	0	4.97E+15
422.1997	0	4.84E+15
424.07126	0	4.83E+15
425.8764	0	4.77E+15
428.11191	0	4.92E+15
429.84606	0	5.02E+15
432.13312	0	4.80E+15
434.47333	0	4.81E+15
436.31556	0	4.68E+15
438.03119	0	4.74E+15
440.10967	0	4.79E+15
442.0609	0	4.81E+15
444.18863	0	4.75E+15
445.94648	0	4.80E+15
448.00266	0	4.68E+15
449.93149	0	4.68E+15
452.03617	0	4.58E+15
453.836	0	4.76E+15
455.80863	0	4.60E+15
457.47998	0	4.59E+15
459.68069	0	4.62E+15
461.10365	0	4.50E+15
463.82433	0	4.57E+15
465.47638	0	4.36E+15
467.35744	0	4.53E+15
469.11777	0	4.55E+15
471.04697	0	4.35E+15
473.08811	0	4.37E+15
475.06509	0	4.36E+15
476.97846	0	4.39E+15
478.94386	0	4.44E+15
480.44146	4.00E+15	4.46E+15
482.33923	1.08E+15	4.34E+15
484.28859	3.69E+15	4.33E+15
486.11824	1.65E+15	4.28E+15
487.7143	4.45E+15	4.26E+15
489.36306	2.62E+15	4.12E+15
491.0641	7.74E+15	4.22E+15
492.42245	8.69E+15	4.30E+15
494.73613	1.14E+16	4.14E+15
496.64697	1.21E+16	4.28E+15
498.32995	6.05E+15	4.05E+15
500.3983	1.44E+16	4.24E+15
501.959	1.06E+16	3.93E+15
503.51584	1.22E+16	4.06E+15
505.40156	1.94E+16	4.19E+15
507.00499	1.42E+16	3.99E+15
508.93517	1.44E+16	3.89E+15
510.58559	1.76E+16	4.06E+15
512.23041	1.81E+16	3.98E+15
513.65291	2.48E+16	4.09E+15
515.61699	1.83E+16	3.82E+15
517.35818	2.36E+16	4.03E+15
518.93116	2.43E+16	4.08E+15
520.50016	2.46E+16	3.97E+15
522.38898	2.19E+16	3.83E+15
523.94927	2.14E+16	3.84E+15
526.04258	2.76E+16	3.91E+15
527.59371	2.59E+16	3.85E+15
529.40792	2.88E+16	3.89E+15
531.00366	2.38E+16	3.84E+15
532.54243	2.72E+16	3.78E+15
534.34224	2.77E+16	3.81E+15
535.45073	2.71E+16	3.68E+15
537.34708	2.03E+16	3.58E+15
539.08073	2.77E+16	3.76E+15
540.80957	2.91E+16	3.74E+15
542.06283	2.62E+16	3.62E+15
543.83537	2.55E+16	3.55E+15
545.55112	2.43E+16	3.52E+15
546.74442	2.97E+16	3.73E+15
548.55414	2.52E+16	3.34E+15
550.20567	2.25E+16	3.50E+15
551.59536	2.51E+16	3.42E+15
553.44354	2.53E+16	3.51E+15
554.51993	2.51E+16	3.37E+15
556.10392	2.25E+16	3.34E+15
557.88829	2.34E+16	3.30E+15
558.90536	2.55E+16	3.40E+15
560.85888	2.39E+16	3.30E+15
561.69462	2.28E+16	3.25E+15
564.37134	2.53E+16	3.35E+15
565.3794	2.50E+16	3.39E+15
567.38858	1.96E+16	3.14E+15
569.09223	2.07E+16	3.10E+15
570.29235	2.44E+16	3.19E+15
571.48917	1.95E+16	3.08E+15
573.08308	2.10E+16	3.19E+15
574.52358	2.32E+16	3.32E+15
576.11028	2.18E+16	3.17E+15
577.17348	2.12E+16	3.15E+15
579.07365	1.95E+16	3.16E+15
580.35423	1.67E+16	2.99E+15
581.73037	1.70E+16	2.92E+15
583.05489	1.74E+16	3.03E+15
584.27929	1.80E+16	2.99E+15
