K 2nd I-TDS	Des D 50eV	err Des D+mask final
T sample	D m-2 s-1	
2nd I-TDS	2nd I-TDS	2nd I-TDS
322.144011212744	0	1.41352306474566E15
322.486578579372	0	1.44322328726656E15
322.144011212744	0	1.37839070711265E15
321.871153934096	0	1.47287524430526E15
322.212219521663	0	1.39172269193479E15
322.348628908791	0	1.20990925374116E15
322.212219521663	0	1.3239642380293E15
322.144011212744	0	1.41964885774577E15
322.075800496982	1.20939963623329E15	1.36427927819784E15
322.418379978224	428465078065000	1.38039043515083E15
322.486578579372	850875869849931	1.43328997461209E15
322.280425421193	694759287525517	1.34627596439962E15
322.075800496982	844630016059018	1.30352953946215E15
322.280425421193	1.36610799287913E15	1.86794133810932E15
322.691159854993	2.53482085321369E15	1.7712446256894E15
323.510814932776	2.34071742256221E15	1.59343395656095E15
324.60416716271	2.18460242612086E15	1.62737964045745E15
325.014395972349	3.46984392481277E15	1.62695956840685E15
326.311045380708	2.87639811768369E15	1.57516346752336E15
327.129097609167	4.19861243916005E15	1.55970134956667E15
329.378728438678	4.14696134674785E15	1.69044742122112E15
330.331163456434	5.47042985715881E15	1.78750155747879E15
331.557584228202	7.36764756344962E15	1.84077666584439E15
333.052755912689	5.53448374487943E15	1.71717165742513E15
334.478836689932	8.73337099468845E15	1.94721709613854E15
336.380362041184	9.83752918962608E15	2.00230095340494E15
337.803464606812	8.26823504717281E15	2.06475836784879E15
339.225256185471	8.47242590777927E15	1.97060316396552E15
341.390687273663	1.29923406858871E16	2.2364867198864E15
342.606971203583	1.27447187799367E16	2.2678363889568E15
344.698616359899	1.36573287986962E16	2.29957192229811E15
346.18247953822	1.7430087276827E16	2.49424212436231E15
347.461830906691	1.73910297075543E16	2.53331879666259E15
349.479198383693	2.00317728791966E16	2.63515767458347E15
350.755462320907	2.06994507731751E16	2.70734183820193E15
352.769401627811	2.3553470353342E16	2.84930315143898E15
354.376497988736	2.62177402930441E16	3.01949523176001E15
355.916388556566	2.84503696234354E16	3.08135973798773E15
357.52103521757	2.92987269309893E16	3.26317663994434E15
359.790363587011	3.43622467573498E16	3.34895414196961E15
361.655613632057	3.41730286751166E16	3.51483627002931E15
363.317543183761	3.56869724292494E16	3.50903334796384E15
364.978640284457	3.60143235478185E16	3.58484348164804E15
366.172924180395	3.87053146618261E16	3.63462118693896E15
368.227672629088	3.771812686874E16	3.75194236531072E15
369.881677989334	4.04314317068531E16	3.86186903657711E15
371.796537201624	4.44147307938644E16	3.95062864424202E15
373.708064361809	5.2546205365448E16	4.18360729313124E15
375.419444986677	5.13392442194279E16	4.26347654954495E15
377.324544981038	4.75608077121316E16	4.33026986072936E15
379.095471738322	5.09900027731371E16	4.51109977870728E15
380.602321119712	5.42560650436121E16	4.62411629207032E15
382.955399091195	5.54721744372871E16	4.7201174814399E15
384.390044962364	5.36788237216168E16	4.69594562120362E15
386.213652294241	5.62517248281078E16	4.85940824368152E15
388.035368445851	6.39435833448885E16	5.03846818698836E15
389.333254724154	6.77640562362435E16	5.18645382001336E15
391.730186761388	6.40568968607623E16	5.26351587743323E15
393.927936584895	6.53418912379341E16	5.43289883608902E15
395.990597002922	6.69465399447574E16	5.47707195036065E15
397.535678103565	6.67753489997485E16	5.48549786373979E15
399.526285585493	7.25185514130482E16	5.75575507912363E15
401.450116276143	7.17752521525229E16	5.90148408416917E15
403.304644029655	7.00397350502577E16	5.7515088557039E15
405.028090182812	7.08344935533722E16	5.92758264510598E15
407.257314203512	7.04978952060098E16	6.07752045910063E15
409.798605541475	7.04969709520712E16	6.02607412180585E15
412.267852747185	6.77996311457542E16	6.14229638581722E15
414.09932378523	6.58514488107688E16	6.18660135703756E15
415.487076479468	7.1411967715061E16	6.3748331446247E15
417.311481273812	7.19354686106514E16	6.29990840159255E15
419.06928551221	6.95777736329502E16	6.43275752283503E15
421.199174938704	7.06298559952466E16	6.43280329466182E15
423.323447903327	7.17960806623972E16	6.60531072024476E15
425.192373191418	7.276623538529E16	6.61884624432017E15
426.99495128827	7.08609706967664E16	6.49972690639568E15
429.103728624723	6.62904767683075E16	6.51239481535247E15
431.391589524561	6.93271431322992E16	6.68577878473302E15
433.181240435224	7.03251090269285E16	6.75249161856396E15
435.026609039366	7.18901734294663E16	6.66785191015909E15
437.052301382936	7.09142914651827E16	6.67733789444773E15
439.13212029698	7.01829197001221E16	6.65801460254666E15
441.330480974242	6.98678571411803E16	6.77976838665211E15
442.790588070362	7.23727212848319E16	6.74923377088958E15
444.795215708501	7.14498121523179E16	6.82360792234392E15
446.611953508079	7.8041181117781E16	7.05261105851391E15
448.726407489667	6.73294961693591E16	6.75542365853478E15
