T sample	Des	err Des
K	D/m2/s	D/m2/s
322.14401	0	1.41E+15
322.48658	0	1.44E+15
322.14401	0	1.38E+15
321.87115	0	1.47E+15
322.21222	0	1.39E+15
322.34863	0	1.21E+15
322.21222	0	1.32E+15
322.14401	0	1.42E+15
322.0758	1.21E+15	1.36E+15
322.41838	4.28E+14	1.38E+15
322.48658	8.51E+14	1.43E+15
322.28043	6.95E+14	1.35E+15
322.0758	8.45E+14	1.30E+15
322.28043	1.37E+15	1.87E+15
322.69116	2.53E+15	1.77E+15
323.51081	2.34E+15	1.59E+15
324.60417	2.18E+15	1.63E+15
325.0144	3.47E+15	1.63E+15
326.31105	2.88E+15	1.58E+15
327.1291	4.20E+15	1.56E+15
329.37873	4.15E+15	1.69E+15
330.33116	5.47E+15	1.79E+15
331.55758	7.37E+15	1.84E+15
333.05276	5.53E+15	1.72E+15
334.47884	8.73E+15	1.95E+15
336.38036	9.84E+15	2.00E+15
337.80346	8.27E+15	2.06E+15
339.22526	8.47E+15	1.97E+15
341.39069	1.30E+16	2.24E+15
342.60697	1.27E+16	2.27E+15
344.69862	1.37E+16	2.30E+15
346.18248	1.74E+16	2.49E+15
347.46183	1.74E+16	2.53E+15
349.4792	2.00E+16	2.64E+15
350.75546	2.07E+16	2.71E+15
352.7694	2.36E+16	2.85E+15
354.3765	2.62E+16	3.02E+15
355.91639	2.85E+16	3.08E+15
357.52104	2.93E+16	3.26E+15
359.79036	3.44E+16	3.35E+15
361.65561	3.42E+16	3.51E+15
363.31754	3.57E+16	3.51E+15
364.97864	3.60E+16	3.58E+15
366.17292	3.87E+16	3.63E+15
368.22767	3.77E+16	3.75E+15
369.88168	4.04E+16	3.86E+15
371.79654	4.44E+16	3.95E+15
373.70806	5.25E+16	4.18E+15
375.41944	5.13E+16	4.26E+15
377.32454	4.76E+16	4.33E+15
379.09547	5.10E+16	4.51E+15
380.60232	5.43E+16	4.62E+15
382.9554	5.55E+16	4.72E+15
384.39004	5.37E+16	4.70E+15
386.21365	5.63E+16	4.86E+15
388.03537	6.39E+16	5.04E+15
389.33325	6.78E+16	5.19E+15
391.73019	6.41E+16	5.26E+15
393.92794	6.53E+16	5.43E+15
395.9906	6.69E+16	5.48E+15
397.53568	6.68E+16	5.49E+15
399.52629	7.25E+16	5.76E+15
401.45012	7.18E+16	5.90E+15
403.30464	7.00E+16	5.75E+15
405.02809	7.08E+16	5.93E+15
407.25731	7.05E+16	6.08E+15
409.79861	7.05E+16	6.03E+15
412.26785	6.78E+16	6.14E+15
414.09932	6.59E+16	6.19E+15
415.48708	7.14E+16	6.37E+15
417.31148	7.19E+16	6.30E+15
419.06929	6.96E+16	6.43E+15
421.19917	7.06E+16	6.43E+15
423.32345	7.18E+16	6.61E+15
425.19237	7.28E+16	6.62E+15
426.99495	7.09E+16	6.50E+15
429.10373	6.63E+16	6.51E+15
431.39159	6.93E+16	6.69E+15
433.18124	7.03E+16	6.75E+15
435.02661	7.19E+16	6.67E+15
437.0523	7.09E+16	6.68E+15
439.13212	7.02E+16	6.66E+15
441.33048	6.99E+16	6.78E+15
442.79059	7.24E+16	6.75E+15
444.79522	7.14E+16	6.82E+15
446.61195	7.80E+16	7.05E+15
448.72641	6.73E+16	6.76E+15
450.53463	7.43E+16	6.88E+15
452.39678	6.37E+16	6.60E+15
454.61351	7.00E+16	6.86E+15
456.88276	6.72E+16	6.77E+15
458.31281	7.32E+16	6.88E+15
460.21498	7.12E+16	6.74E+15
461.99251	6.62E+16	6.67E+15
463.88454	7.36E+16	6.84E+15
465.88743	7.34E+16	6.80E+15
467.76869	6.76E+16	6.69E+15
469.81982	6.86E+16	6.68E+15
471.6888	7.89E+16	6.77E+15
473.78731	7.30E+16	6.75E+15
475.41375	6.73E+16	6.65E+15
476.80391	7.42E+16	6.76E+15
479.05898	7.19E+16	6.67E+15
480.84468	7.76E+16	6.67E+15
482.56956	7.18E+16	6.67E+15
484.80354	7.46E+16	6.53E+15
486.11824	7.28E+16	6.55E+15
487.7143	6.94E+16	6.52E+15
489.76076	7.14E+16	6.47E+15
491.63011	7.87E+16	6.49E+15
493.2138	6.88E+16	6.22E+15
495.24276	7.87E+16	6.39E+15
496.81623	7.22E+16	6.25E+15
498.83372	6.99E+16	6.23E+15
500.73351	7.33E+16	6.20E+15
502.40438	7.52E+16	6.25E+15
504.07083	7.87E+16	6.22E+15
505.45679	7.69E+16	6.08E+15
507.50186	8.40E+16	6.17E+15
508.93517	8.03E+16	6.20E+15
510.7499	7.94E+16	5.99E+15
512.39428	7.55E+16	5.83E+15
514.14451	7.89E+16	5.94E+15
515.94291	8.71E+16	5.98E+15
518.00926	8.48E+16	5.92E+15
519.20133	7.94E+16	5.69E+15
520.98638	7.89E+16	5.76E+15
522.71258	8.28E+16	5.78E+15
524.16489	7.62E+16	5.59E+15
526.04258	7.46E+16	5.50E+15
527.96787	8.28E+16	5.56E+15
529.14096	8.07E+16	5.54E+15
531.00366	7.77E+16	5.49E+15
532.48956	8.35E+16	5.51E+15
534.28952	8.05E+16	5.40E+15
535.92536	8.39E+16	5.39E+15
537.61053	8.07E+16	5.35E+15
539.50032	7.66E+16	5.22E+15
540.80957	8.16E+16	5.22E+15
542.6897	7.82E+16	5.13E+15
543.88728	8.23E+16	5.25E+15
545.7582	8.07E+16	5.06E+15
547.26218	7.77E+16	5.13E+15
548.86443	7.95E+16	5.09E+15
550.25707	7.86E+16	5.06E+15
552.2128	7.82E+16	4.88E+15
553.70032	7.38E+16	4.89E+15
555.13337	6.80E+16	4.77E+15
556.20576	7.12E+16	4.76E+15
557.48077	7.36E+16	4.70E+15
559.46395	6.95E+16	4.75E+15
560.78306	7.26E+16	4.71E+15
562.25194	7.71E+16	4.77E+15
564.82476	7.64E+16	4.65E+15
565.78081	6.74E+16	4.60E+15
567.23844	7.20E+16	4.72E+15
568.9924	6.72E+16	4.55E+15
570.44179	6.14E+16	4.37E+15
571.58862	6.36E+16	4.46E+15
573.13269	6.08E+16	4.33E+15
574.77217	6.04E+16	4.31E+15
576.11028	6.23E+16	4.33E+15
577.69213	5.44E+16	4.27E+15
578.87694	5.86E+16	4.21E+15
580.45237	5.68E+16	4.22E+15
581.58342	5.06E+16	3.98E+15
583.5458	4.95E+16	4.02E+15
584.57314	5.31E+16	4.13E+15
585.98962	4.54E+16	3.91E+15
587.35466	4.40E+16	3.81E+15
588.9606	4.80E+16	3.87E+15
590.22316	4.07E+16	3.70E+15
591.4835	4.14E+16	3.82E+15
592.64409	4.31E+16	3.60E+15
