K 3rd I-TDS	Des D 50eV	err final
T Sample	D m-2 s-1	D m-2 s-1
3rd I-TDS	3rd I-TDS	3rd I-TDS
320.296830430081	0	428688617304059
320.501641074848	0	363759157106928
320.433373201706	0	367033367834604
320.776240391162	0	413980952459549
320.639721191514	0	395732549985712
320.501641074848	0	318135910344700
320.433373201706	0	308263925077746
320.091998747977	0	374959509815794
320.296830430081	-121498932366723	324554063555534
320.433373201706	573909905357470	334527253167234
320.160278308527	-172279501326647	393520765935342
320.569906602773	1.58748443174766E15	329082600625697
320.160278308527	8.02992734701267E15	372045048713696
320.981001517454	863219004935975	330452595337464
321.596707656462	672382795354832	418641673146590
322.348628908791	362744597944250	617085799607412
323.853136771756	2.6902253597343E15	593138438337801
325.628794436549	2.14484204146912E15	634916931942303
326.447155458318	3.07551982664443E15	553965050329671
327.810779611573	3.77367561974675E15	427432918145676
329.85578382106	3.07353665140518E15	417588860992990
331.216744073447	5.00973764511873E15	401736786308407
332.576605389291	5.32569385320008E15	386861599310171
334.140140428193	6.90523143338125E15	382101157656006
335.632946233698	5.76416812634994E15	385503405830355
337.531546781907	8.21728036746303E15	377136959972378
338.615859480605	8.64365826949004E15	351077480562794
340.782168657754	9.236342148304E15	470304114197832
342.100053567654	9.62484123442066E15	447681260925952
344.091480902513	1.30939588113419E16	487140566177103
345.441507265948	1.55899645819991E16	514316923039368
347.124550897887	1.66517902897208E16	487138565389397
348.739996221313	2.0928419699928E16	558198118377661
350.48751737541	1.93545460181848E16	566172630819997
352.232753950675	2.47387392084707E16	623107601989775
353.573199401092	2.83435602647189E16	597833169082361
355.381051730378	2.78965591329944E16	675115996318962
357.252979586712	2.80372370641498E16	695564232350554
358.989012472054	3.45989348704486E16	709317848337477
360.656137304802	3.3388764427427E16	729700248482901
362.45369008095	3.89743176263001E16	824398992726696
364.24852970358	4.11008407252602E16	876213342220691
365.908302696662	4.82111851892398E16	897040561240375
367.697818042015	5.34114420020258E16	984795808082834
369.682366929538	5.89188139052409E16	971093120968884
371.26837327067	6.19756602804905E16	1.06518474625553E15
373.049347439327	6.53232370489616E16	1.13042656999571E15
374.56484135405	6.73823201835233E16	1.13253116855507E15
377.324544981038	7.08341237191032E16	1.15210618720867E15
378.636300638538	7.57174892167564E16	1.25048131708246E15
380.471765181072	8.37794650893584E16	1.25615822033024E15
382.497953554338	8.71363603244744E16	1.32974978964419E15
383.934730040305	8.99857947188525E16	1.37073597139866E15
386.213652294241	9.97371247338852E16	1.46547654567028E15
387.384302170633	1.01364991566163E17	1.52819535415927E15
389.20383842198	1.0816067857577E17	1.60925815649372E15
391.601093550577	1.08722215333796E17	1.64948063078367E15
393.346763550879	1.14934300202803E17	1.69916301742322E15
395.540739315771	1.17535410630594E17	1.71789273140351E15
397.40738490482	1.21673073308086E17	1.77273186820984E15
399.206218312346	1.19835286646759E17	1.81880268967684E15
401.001493443647	1.28968310062504E17	1.90606939071993E15
403.177169384481	1.31791688233723E17	1.94475999414803E15
405.4111016112	1.30378051845595E17	1.99217648337164E15
407.575926361996	1.25524897327022E17	2.07464349005915E15
409.162908035741	1.34056036245698E17	2.11158830892407E15
411.635434694062	1.41255028102507E17	2.16794003513387E15
413.531265572571	1.36752376937803E17	2.19920871302924E15
415.612731528605	1.42136941742864E17	2.25064006498299E15
417.248785384718	1.46626755576155E17	2.2922589983237E15
419.00672425753	1.47669381668145E17	2.33725263549118E15
421.074376233908	1.39033729406997E17	2.3308361263729E15
423.385674833999	1.39706348730525E17	2.41743504755805E15
425.00610215418	1.45003530621883E17	2.4346813647989E15
427.678819262467	1.46740484409467E17	2.44039831082988E15
429.22726640303	1.48229701160753E17	2.42432154542985E15
431.329995940707	1.48613654479008E17	2.49819255396879E15
433.242685269922	1.49531955580278E17	2.5571104430319E15
435.087904778403	1.47191339887129E17	2.5304662961345E15
437.29679612743	1.41725241349211E17	2.57760329977785E15
438.827239313634	1.45523338977525E17	2.61316783152331E15
441.512807586879	1.4587046735676E17	2.62251693671292E15
443.398339602355	1.57189631529134E17	2.58497136687306E15
445.159476958034	1.50727255362023E17	2.6056120578082E15
447.15622407141	1.43544569150402E17	2.64907306219516E15
448.846733307466	1.38907218010689E17	2.673710514276E15
450.413223543749	1.39990603184793E17	2.67476998364823E15
452.996471090625	1.43624644979887E17	2.67603481796464E15
454.972802851218	1.32250893011028E17	2.6983510049453E15
457.003055289729	1.46144684492937E17	2.68481013897093E15
458.670204990983	1.46043724894633E17	2.65469947729821E15
460.629206216579	1.51341411649949E17	2.67873172853013E15
462.82125194303	1.41381814805289E17	2.69284431436021E15
464.592041020004	1.38463063740159E17	2.76379488106496E15
466.416898106538	1.39132526096457E17	2.72804113356941E15
468.765807812294	1.40476826432512E17	2.67162165791213E15
470.462829790466	1.33968772617294E17	2.65603268508254E15
472.680113744252	1.34905694112674E17	2.65187102390737E15
474.426512429491	1.22927206042E17	2.68193180521275E15
476.109197574902	1.30598346235797E17	2.60664424278183E15
478.307711176764	1.25299804088215E17	2.70584471013918E15
480.269134113544	1.33237003754457E17	2.69247874803671E15
481.535699850252	1.2539673328299E17	2.73309604142535E15
483.200271192434	1.22739798198259E17	2.66972687943062E15
485.661314009403	1.27815914490059E17	2.6478054402914E15
487.258502653032	1.26392589397904E17	2.65085434681555E15
488.738345603705	1.2323892696171E17	2.65392752468254E15
490.441037740049	1.1781670274739E17	2.60369511678099E15
492.59155705721	1.13151475385381E17	2.60931287881347E15
494.285307106108	1.21794735620981E17	2.53152323208552E15
496.141454925345	1.12134963340185E17	2.57859401076603E15
498.105218250871	1.1226253450418E17	2.54770259529815E15
500.007198325857	1.07039544503296E17	2.58602561468043E15
501.958998481014	1.13829402860894E17	2.52267605774481E15
503.460439720079	1.09189664693608E17	2.49912724438752E15
505.12408984089	1.03400410687975E17	2.52748818408587E15
506.562858542857	1.02691519646122E17	2.5215294836904E15
508.439444006993	1.03986416646038E17	2.48923884974754E15
510.255607591121	1.07049105147362E17	2.44981769796838E15
512.230412475242	1.10424091870563E17	2.40681154517384E15
513.652914027416	1.01740085746981E17	2.45656569722658E15
515.779968073548	1.02634418090767E17	2.38978533601434E15
517.52070509351	1.03300959565142E17	2.36234263106975E15
519.093275325463	9.51246757248756E16	2.33540232973159E15
520.715761265481	9.73135151667567E16	2.3788401119264E15
522.335234070855	9.79499415060415E16	2.33437465254586E15
524.272057774911	9.67832413526115E16	2.28374332054577E15
526.042581368069	9.45870630280505E16	2.27986032437591E15
527.64699867621	9.3423737286845E16	2.27278744941954E15
529.034624441853	9.05027379297216E16	2.28086417618471E15
530.950652401512	8.50636349067638E16	2.30467412796639E15
532.966456605234	9.20306857744702E16	2.23913554796764E15
534.184068208075	9.17382235157561E16	2.22432279909896E15
535.925356977767	8.88140048106214E16	2.23595408023241E15
537.610532558084	8.50359051535504E16	2.1552767257384E15
539.133046676784	8.78472643157707E16	2.17152438126362E15
540.861742760975	9.04639022559166E16	2.15707375841029E15
542.637683461482	8.08724758421259E16	2.15512286291083E15
544.355536370221	7.97608009408163E16	2.1269033184345E15
545.602891846047	8.21606484582895E16	2.10271227178906E15
546.951105401463	7.7057008041752E16	2.0748928112489E15
548.709888749389	7.75488728365153E16	2.02719681262748E15
550.463772093373	7.53062615364609E16	2.08484618037707E15
552.21279545976	7.12769144444753E16	2.07237345559615E15
553.649205406025	7.65869701518725E16	2.04129723977762E15
555.031366576071	6.53299957926833E16	2.0049520001728E15
556.766706980247	6.83941210449298E16	2.02466380102689E15
558.244793222077	6.61498976596742E16	2.02276810061632E15
559.617048460617	6.19046790248698E16	1.94775114947121E15
560.833608163564	5.92383583892326E16	1.92238281422525E15
562.453650262964	6.07109305277982E16	1.95270501771851E15
564.976588058544	5.91448813912535E16	1.89914018255591E15
