K 4th I-TDS	Des D 50eV	err final
T sample	D m-2 s-1	D m-2 s-1
4th I-TDS	4th I-TDS	4th I-TDS
324.125710507576	0	450969416658459
324.057570787787	0	434769099253686
324.261982503763	0	402007749005983
323.989428590215	0	365295583409424
324.125710507576	0	372621300115759
324.331663206957	0	382101157656006
323.784987155896	0	435571298891154
323.989428590215	0	376846490832741
323.648680523481	-337493354235557	410955587537202
324.057570787787	-252605700284715	409061248890867
324.057570787787	4.82322001030378E15	330452595337464
323.921283917367	8.36337478618006E15	391627831635626
324.19384774707	6.74756755067146E15	393442932356815
326.447155458318	1.38166546875869E15	557930782184980
327.538756468258	1.46607785984915E15	632954264455438
328.765619455811	62839676031311.2	600598888386074
329.787861677152	1.77024191597465E15	594018981985275
331.148876249645	3.1060165387817E15	473698805176246
332.917167196748	3.17258168421553E15	492090828690613
334.207885362194	3.49484412092719E15	415738326152533
335.83752108693	3.63356013684324E15	431838496599179
337.803464606812	3.47246509640093E15	434769099253686
339.225256185471	6.17580171462954E15	449108431123221
340.44331354675	5.75149435524004E15	491291634824782
342.201144836052	6.39079522217663E15	465694001015229
343.687600757768	8.37658294134202E15	471121650130755
345.238244610883	1.06378733852215E16	407692567963004
346.990226451177	1.12565419140973E16	482841628206611
348.000392009316	1.25041962177845E16	534662461029713
350.217995764878	1.36995129100837E16	537359940594425
352.29965688808	1.56931533922488E16	554075976264055
353.237457821772	1.762809804014E16	567080653501470
354.778717815305	2.09611515557763E16	572525137412414
356.584861898328	2.25857036243379E16	660215212809545
358.321828696852	1.72975344108127E16	651968200121844
360.189330826419	2.4906745282563E16	672525793440709
361.987581695868	2.79066948038477E16	738698692922129
363.783128637455	3.04816182781058E16	793929116128568
365.77596917997	3.75277272790926E16	819201708100719
367.233804710416	3.58647700908167E16	857046317000707
369.153196119444	3.56368858576165E16	882515354531966
370.937580907933	4.39939176370775E16	934061560175994
372.852102767523	4.31720355998001E16	977713556912523
374.300716189586	4.55788499981776E16	1.04596446150202E15
376.471471790329	4.55994342159347E16	1.08933542869748E15
378.046065283428	5.4369265515888E16	995287142670454
380.40499721177	5.45273730897104E16	1.13940660985602E15
381.517229500019	6.01302576424593E16	1.18693637994367E15
383.738052799468	6.20768471038107E16	1.25293920030257E15
385.432938268097	6.14310619943406E16	1.3504901376212E15
387.060080446114	6.80987482263815E16	1.33367200306586E15
389.139123774534	6.62172537503624E16	1.35136586727867E15
390.500157786275	6.97424403396577E16	1.46666984574095E15
392.570330709412	7.65490053365803E16	1.47374378669508E15
394.573099681454	7.517688060493E16	1.49933102839546E15
396.120547669361	8.14100085100324E16	1.509601348652E15
399.014123739572	8.49887469483061E16	1.61510487567821E15
400.424778362837	8.13010962554712E16	1.64187202990214E15
402.601857113098	8.1632781992854E16	1.71490281254662E15
404.326673812455	9.06262976994676E16	1.74551485962357E15
405.984582516279	8.86035754118841E16	1.74218019806166E15
408.591528618785	8.21909004715196E16	1.82334886443818E15
410.305961097799	8.9312777889444E16	1.82011729118197E15
412.710693154609	9.36523659938577E16	1.86777568149369E15
414.792774931533	1.02747113229102E17	1.93625087496506E15
416.682881191505	9.74737842306736E16	1.94253025565042E15
418.002243644029	1.02176119201804E17	2.00685301978847E15
420.197404884295	8.87701403665594E16	2.06946386878587E15
422.199700773369	1.02099512801191E17	2.04014004827266E15
424.257754200894	1.08096775329864E17	2.07352454519522E15
425.62824510969	9.3357902320726E16	2.1600046844056E15
428.175163326479	1.02814172658083E17	2.14930005452451E15
