K 5th I-TDS	Des D 50eV	err Des D+mask final
T sample	D m-2 s-1	
5th I-TDS	5th I-TDS	5th I-TDS
326.447155458318	0	1.53209609999329E15
326.788932074874	0	1.45116568098439E15
326.788932074874	0	1.45898103466994E15
326.856970346427	0	1.46359762880441E15
326.447155458318	0	1.56819281446716E15
326.515206650755	0	1.40791720666336E15
326.65130133057	0	1.3335082485258E15
326.515206650755	3.19518022096862E15	1.63964974409052E15
326.856970346427	4.01656010334784E15	1.63917605399773E15
326.515206650755	545193936141995	1.49378252962036E15
327.334711755433	1.28006105506928E15	1.57269211303984E15
326.379101700814	1.98219198752884E15	1.55073997766131E15
326.925006038088	803907355719896	1.40980676682786E15
336.583302637607	7.50426096701195E15	2.35853682692818E15
338.141374780114	9.54372212500368E15	2.26668264195537E15
339.427822602746	8.32054380781172E15	2.06210627385439E15
341.11941386194	9.48785406478626E15	2.16394395066775E15
342.809076519827	1.45119574391437E16	2.29206689880932E15
344.496776327945	1.54994479726188E16	2.30889145156249E15
345.912108184532	1.20315509158502E16	2.09776897689815E15
347.528971839359	1.8532509073211E16	2.48383270212296E15
349.278053442676	2.31830201223123E16	2.64272861065449E15
351.024875299991	2.00376406591589E16	2.50069442823568E15
351.829743675187	2.33747868097771E16	2.58558398173997E15
354.645164489434	2.58526875321384E16	2.72084148353667E15
355.649506679968	2.91766308439107E16	2.81008540372631E15
357.186335344922	3.35489444428445E16	3.07701427577743E15
359.456279134779	3.231453502045E16	2.95458974136443E15
361.322043956844	3.96830862311486E16	3.19071557102046E15
363.184915620166	4.09568262136261E16	3.26741327904978E15
364.846200562311	4.45755299378078E16	3.34568491470062E15
366.372853481152	4.5564415681721E16	3.45146732356521E15
368.29369945617	4.70295636306709E16	3.53426642286962E15
369.947607648538	5.50640081286743E16	3.69604500826579E15
371.92816463814	5.45617125060613E16	3.73407623623063E15
373.839461089645	5.63594681960241E16	3.85690217974482E15
375.880021052508	6.15392885559905E16	4.03378674876964E15
377.718839209643	6.31344667352995E16	4.06846827894446E15
378.964725212848	7.02941884319478E16	4.32748860501544E15
380.993889307693	6.7582801113249E16	4.26109789718792E15
382.890273854054	7.6621158774583E16	4.55701422252128E15
385.173055783726	7.27673547310174E16	4.4886432921444E15
386.018900440013	7.95610687713571E16	4.6612495465864E15
388.555025567337	7.97610143222497E16	4.69772391863931E15
390.175507013989	8.61756255766867E16	4.94482553547898E15
392.505843429933	8.65505542657479E16	4.99766478326021E15
393.604456410963	9.17399560025506E16	5.05142714629859E15
395.990597002922	9.36327641953398E16	5.14252653882073E15
397.471533747331	9.23524942522919E16	5.2479190570674E15
399.719725976704	9.27118817219326E16	5.40104633033062E15
401.450116276143	1.02046051772172E17	5.60892190458441E15
403.240908999207	1.03022771405321E17	5.71049477969014E15
405.4111016112	1.02102920897623E17	5.75435571071645E15
407.447630596306	1.01383912889801E17	5.71375073138713E15
409.861861787734	9.78322744634637E16	5.83638447108841E15
412.773732384916	1.04696807648838E17	5.95551218087961E15
414.415380302922	1.08868628000123E17	6.08740560603585E15
416.053801101977	9.7056251384725E16	6.05563992721475E15
417.562216960005	1.11730599441344E17	6.38891724943503E15
419.696054205407	1.06234204939806E17	6.31662055855335E15
421.448714349485	1.04637133722152E17	6.29679824130492E15
423.76034792347	1.11466531105025E17	6.53658772396561E15
425.938427940641	1.02713377642876E17	6.55669639228494E15
427.802583291666	1.09873417543112E17	6.49220265334488E15
430.155976714361	1.02740302440437E17	6.55643951526968E15
432.133124294523	1.07887268874189E17	6.77470935143936E15
434.22652351109	1.08482882536469E17	6.69891764043429E15
436.254361476744	1.06961685672725E17	6.83858029995827E15
438.154674458378	1.12325283801778E17	6.979197992501E15
439.987890400677	1.15292991855275E17	7.10020345158859E15
442.121617174875	1.01310976225089E17	6.81232486396945E15
443.884452981582	1.06431098515753E17	7.02979091991546E15
446.188043446142	1.10720484151883E17	7.0534051692225E15
448.123107001143	1.04541788995374E17	7.12108955188046E15
450.293161050143	1.04620521429181E17	7.13807386414319E15
451.916382518739	1.08186155078187E17	7.0442852231918E15
453.535897227365	1.09306531554334E17	7.16491790396083E15
456.107763690115	1.00784139050949E17	7.16397908726274E15
457.836454872549	1.04718267584933E17	7.24426503215927E15
459.858385924361	1.03564770555399E17	7.11268905226153E15
461.874416432422	9.79861495037808E16	7.04370749315518E15
463.647656288446	1.0191655183402E17	7.06481191156238E15
465.887433857961	9.78298021710224E16	7.13501657415731E15
467.651593705725	9.44255756574294E16	7.01090427593283E15
469.351426602933	9.27498731240209E16	7.0798458237302E15
471.572391946392	9.665421791276E16	7.25037399348851E15
473.379751818467	9.83364706325758E16	7.09108655168969E15
475.065094623063	9.62371269668604E16	7.07591440290532E15
476.978461363061	9.89754582958311E16	7.01511129692458E15
478.88497892408	9.76856049890729E16	7.12034487667642E15
480.615042108896	9.82281589763146E16	7.09778007290059E15
483.257459832238	8.23125411434969E16	6.8885423048074E15
484.746488135452	9.26115503205749E16	6.88764119826361E15
486.060011314747	8.61009300735853E16	6.78243831546572E15
487.657505071903	9.1909977585598E16	6.93229420310464E15
489.193096433491	8.16221382304177E16	6.7694839380389E15
491.347806805761	8.59729000934922E16	6.81454683051413E15
492.987253602576	9.00018101388876E16	6.80152204513965E15
495.24276160734	8.49615736977526E16	6.69699309185284E15
497.096115950123	8.13049059452117E16	6.65915452163016E15
498.945331561976	8.40219543259346E16	6.68544001527087E15
500.620947730043	8.10475046420424E16	6.64219391966374E15
502.348885767813	8.81428865461185E16	6.70540280000699E15
504.23811330252	8.73990871105223E16	6.59281893437871E15
505.734119864584	7.94510958938323E16	6.53293420682829E15
507.28163057238	8.15813698439142E16	6.43366393481232E15
509.265854839041	8.20925714372681E16	6.4349505122408E15
511.079618172337	8.06311532980447E16	6.47357391868238E15
512.94144953373	8.2656809323021E16	6.40833848448195E15
514.253430816409	7.78846523077362E16	6.2568598102906E15
516.324164328186	7.53862076087442E16	6.07903751355619E15
517.846858278445	7.99169225163918E16	6.17911318985548E15
519.79650580714	8.76178970544683E16	6.24208918477958E15
521.256871567642	7.86510947952502E16	6.15566265620173E15
523.034798843873	7.90689220167172E16	6.05835042448175E15
525.022959309628	7.46129751430538E16	6.01860758553077E15
526.416467715524	7.88470936895926E16	5.9792506205974E15
527.967868389145	7.45460417954704E16	5.80424725044104E15
529.67355633721	7.68303495150267E16	5.82816906747157E15
531.375767150789	7.56343363643009E16	5.87095747643601E15
533.284585706412	7.54941741872386E16	5.72236408973449E15
534.659667264081	7.18281636641568E16	5.55184086756306E15
536.189414937084	7.51030605148367E16	5.67284095451072E15
537.978705707528	7.72569533426115E16	5.62742638051925E15
539.657148555958	7.67533048936251E16	5.58893520666159E15
541.123715651429	7.10895822970849E16	5.37147161520613E15
543.002900757665	7.05321969288829E16	5.44515195879882E15
544.460461724234	7.16348310810381E16	5.41152278749296E15
545.86288643188	6.9635282063272E16	5.28953519661731E15
548.141753416391	7.07928241489142E16	5.25597528043632E15
549.174558390474	6.88231001680369E16	5.19012744155635E15
550.82330007458	7.02204648257569E16	5.18766379373252E15
552.828466068085	6.81717260465551E16	5.15336910734458E15
554.006929269474	6.92530821750832E16	5.12013360443096E15
555.69526697405	6.46597756255788E16	4.99218678904031E15
557.072997738523	6.85459523207446E16	4.99658830713859E15
558.651821731895	6.48413087251984E16	4.95071840514084E15
559.971445181521	6.80068511404299E16	4.91247219118208E15
561.745095439955	6.38247179557791E16	4.78913431758502E15
562.958795052803	6.3574785698167E16	4.74868028421212E15
565.2276590046	6.33780979268074E16	4.80068337559073E15
566.886859286501	6.31306421425608E16	4.64758151152192E15
568.140997860154	6.31563809496876E16	4.76036422390765E15
569.992241296244	6.2215916436692E16	4.68607053533915E15
571.19073450861	5.71821983876361E16	4.58055263980765E15
572.78423429475	5.55660763430086E16	4.35433581025426E15
574.424567710255	5.43618889530719E16	4.42653463942284E15
575.613996787412	5.34994646773457E16	4.38644635348706E15
576.802447315584	5.72251308123686E16	4.41971174282337E15
578.18577639121	5.36868574796842E16	4.25588079921708E15
580.108791184868	5.04543598809612E16	4.2972142951099E15
581.288301284111	5.01636369272221E16	4.20899618735811E15
582.810421300993	5.14461012532898E16	4.21142132188191E15
584.132877437202	4.76182436945894E16	4.02374832637956E15
585.746176119511	4.73647070773873E16	4.1291210097157E15
587.452933497075	4.76490118788045E16	4.1768683479967E15
588.329025563049	4.77424830961543E16	4.08061299709905E15
590.174767043141	4.71065487237567E16	3.99518287738246E15
591.435191002924	4.48774656486675E16	4.00941180692744E15
592.741635219841	4.73405292816993E16	3.97680669591576E15
594.431800782617	4.71255601157947E16	3.98385890998275E15
595.68485796324	4.25799331816234E16	3.86900239283295E15
596.838798067009	4.09037180194489E16	3.919681870667E15
598.519594779661	4.4705563464391E16	3.85830032568086E15
599.910143665471	4.56038365511691E16	3.93827428163458E15
601.152948482536	3.97691779282012E16	3.67735521786597E15
602.871742333237	3.95360428283134E16	3.73615772095339E15
603.920824371326	4.36832929790917E16	3.84388538068798E15
605.20565923291	4.01750168746567E16	3.74626011479953E15
606.583076046047	3.87311793556118E16	3.63868412856739E15
607.721742967718	4.10139230908568E16	3.66116575739654E15
609.44974167654	3.78546695644993E16	3.60606939195168E15
610.418367247597	3.52509964116358E16	3.63302047532987E15
612.211126043096	3.74642477457991E16	3.41641241974461E15
613.201021250578	3.89212991525064E16	3.69438400961954E15
614.377315209861	4.080054948122E16	3.61083363316995E15
616.021133997312	3.61775190053228E16	3.59630973117558E15
617.427122849514	3.6770707731395E16	3.49088783180974E15
618.690854679623	3.26299990789019E16	3.42694772225999E15
620.606801035126	3.82853617400518E16	3.51819018550515E15
622.191254252052	3.87657185260507E16	3.58224466509235E15
623.681171086212	3.48817596244199E16	3.4486986462288E15
625.586409871892	3.61512270663034E16	3.46341821093431E15
627.023511721424	3.42854522776942E16	3.47140586289975E15
628.597885537908	3.4592771282555E16	3.52912266185343E15
630.076455385764	3.28225991960426E16	3.37054378226933E15
632.199685546881	3.40610734283541E16	3.36448132113455E15
633.857411091151	2.82245444199504E16	3.19719786261645E15
635.420746081825	3.04196420768102E16	3.27739634079887E15
637.21041339562	2.88360184465367E16	3.3234458327222E15
638.859990403516	2.72403233692222E16	3.34757773152826E15
640.734966521305	2.80281119507276E16	3.28049970338451E15
642.288060054949	2.80767072910931E16	3.27213866814061E15
643.838962279925	2.22716387275338E16	3.16248682663275E15
645.387721058952	2.29850979324642E16	3.11396240310357E15
647.569980796978	2.11372687891167E16	2.97803388001411E15
648.932732506758	1.89674731881071E16	3.0013352063256E15
650.565171672646	1.86645505067393E16	2.94203751510777E15
652.64779900078	1.51197949684985E16	2.75881051856557E15
654.185232638602	1.48317205646507E16	2.83562151284609E15
655.945908510303	1.2870542583931E16	2.81990006039964E15
657.20867025994	1.15032507739615E16	2.75491760560548E15
658.853095761333	1.17047570250072E16	2.72674968664895E15
660.450711955009	1.0826856998391E16	2.67769517313658E15
662.02413032433	1.01563461926477E16	2.57636755467045E15
663.730149683221	9.07865358777246E15	2.51258559077098E15
665.165938123509	6.56114481527582E15	2.4439261739993E15
667.182130839509	4.84838434431479E15	2.29493455080956E15
668.793253084173	6.17772792392051E15	2.39884814499949E15
669.822204863834	7.07986940152616E15	2.45537043908954E15
671.564417261927	7.49580312085958E15	2.430810458919E15
672.903313059962	4.38043005221026E15	2.2693072747141E15
674.286695363704	3.50079216790505E15	2.24821138567783E15
676.203310658797	3.05163798830505E15	2.18955851570007E15
