T sample	Des	err Des
K	D/m2/s	D/m2/s
326.44716	0	1.53E+15
326.78893	0	1.45E+15
326.78893	0	1.46E+15
326.85697	0	1.46E+15
326.44716	0	1.57E+15
326.51521	0	1.41E+15
326.6513	0	1.33E+15
326.51521	3.20E+15	1.64E+15
326.85697	4.02E+15	1.64E+15
326.51521	5.45E+14	1.49E+15
327.33471	1.28E+15	1.57E+15
326.3791	1.98E+15	1.55E+15
326.92501	8.04E+14	1.41E+15
336.5833	7.50E+15	2.36E+15
338.14137	9.54E+15	2.27E+15
339.42782	8.32E+15	2.06E+15
341.11941	9.49E+15	2.16E+15
342.80908	1.45E+16	2.29E+15
344.49678	1.55E+16	2.31E+15
345.91211	1.20E+16	2.10E+15
347.52897	1.85E+16	2.48E+15
349.27805	2.32E+16	2.64E+15
351.02488	2.00E+16	2.50E+15
351.82974	2.34E+16	2.59E+15
354.64516	2.59E+16	2.72E+15
355.64951	2.92E+16	2.81E+15
357.18634	3.35E+16	3.08E+15
359.45628	3.23E+16	2.95E+15
361.32204	3.97E+16	3.19E+15
363.18492	4.10E+16	3.27E+15
364.8462	4.46E+16	3.35E+15
366.37285	4.56E+16	3.45E+15
368.2937	4.70E+16	3.53E+15
369.94761	5.51E+16	3.70E+15
371.92816	5.46E+16	3.73E+15
373.83946	5.64E+16	3.86E+15
375.88002	6.15E+16	4.03E+15
377.71884	6.31E+16	4.07E+15
378.96473	7.03E+16	4.33E+15
380.99389	6.76E+16	4.26E+15
382.89027	7.66E+16	4.56E+15
385.17306	7.28E+16	4.49E+15
386.0189	7.96E+16	4.66E+15
388.55503	7.98E+16	4.70E+15
390.17551	8.62E+16	4.94E+15
392.50584	8.66E+16	5.00E+15
393.60446	9.17E+16	5.05E+15
395.9906	9.36E+16	5.14E+15
397.47153	9.24E+16	5.25E+15
399.71973	9.27E+16	5.40E+15
401.45012	1.02E+17	5.61E+15
403.24091	1.03E+17	5.71E+15
405.4111	1.02E+17	5.75E+15
407.44763	1.01E+17	5.71E+15
409.86186	9.78E+16	5.84E+15
412.77373	1.05E+17	5.96E+15
414.41538	1.09E+17	6.09E+15
416.0538	9.71E+16	6.06E+15
417.56222	1.12E+17	6.39E+15
419.69605	1.06E+17	6.32E+15
421.44871	1.05E+17	6.30E+15
423.76035	1.11E+17	6.54E+15
425.93843	1.03E+17	6.56E+15
427.80258	1.10E+17	6.49E+15
430.15598	1.03E+17	6.56E+15
432.13312	1.08E+17	6.77E+15
434.22652	1.08E+17	6.70E+15
436.25436	1.07E+17	6.84E+15
438.15467	1.12E+17	6.98E+15
439.98789	1.15E+17	7.10E+15
442.12162	1.01E+17	6.81E+15
443.88445	1.06E+17	7.03E+15
446.18804	1.11E+17	7.05E+15
448.12311	1.05E+17	7.12E+15
450.29316	1.05E+17	7.14E+15
451.91638	1.08E+17	7.04E+15
453.5359	1.09E+17	7.16E+15
456.10776	1.01E+17	7.16E+15
457.83645	1.05E+17	7.24E+15
459.85839	1.04E+17	7.11E+15
461.87442	9.80E+16	7.04E+15
463.64766	1.02E+17	7.06E+15
465.88743	9.78E+16	7.14E+15
467.65159	9.44E+16	7.01E+15
469.35143	9.27E+16	7.08E+15
471.57239	9.67E+16	7.25E+15
473.37975	9.83E+16	7.09E+15
475.06509	9.62E+16	7.08E+15
476.97846	9.90E+16	7.02E+15
478.88498	9.77E+16	7.12E+15
480.61504	9.82E+16	7.10E+15
483.25746	8.23E+16	6.89E+15
484.74649	9.26E+16	6.89E+15
486.06001	8.61E+16	6.78E+15
487.65751	9.19E+16	6.93E+15
489.1931	8.16E+16	6.77E+15
491.34781	8.60E+16	6.81E+15
492.98725	9.00E+16	6.80E+15
495.24276	8.50E+16	6.70E+15
497.09612	8.13E+16	6.66E+15
498.94533	8.40E+16	6.69E+15
500.62095	8.10E+16	6.64E+15
502.34889	8.81E+16	6.71E+15
504.23811	8.74E+16	6.59E+15
505.73412	7.95E+16	6.53E+15
507.28163	8.16E+16	6.43E+15
509.26585	8.21E+16	6.43E+15
511.07962	8.06E+16	6.47E+15
512.94145	8.27E+16	6.41E+15
514.25343	7.79E+16	6.26E+15
516.32416	7.54E+16	6.08E+15
517.84686	7.99E+16	6.18E+15
519.79651	8.76E+16	6.24E+15
521.25687	7.87E+16	6.16E+15
523.0348	7.91E+16	6.06E+15
525.02296	7.46E+16	6.02E+15
526.41647	7.88E+16	5.98E+15
527.96787	7.45E+16	5.80E+15
529.67356	7.68E+16	5.83E+15
531.37577	7.56E+16	5.87E+15
533.28459	7.55E+16	5.72E+15
534.65967	7.18E+16	5.55E+15
536.18941	7.51E+16	5.67E+15
537.97871	7.73E+16	5.63E+15
539.65715	7.68E+16	5.59E+15
541.12372	7.11E+16	5.37E+15
543.0029	7.05E+16	5.45E+15
544.46046	7.16E+16	5.41E+15
545.86289	6.96E+16	5.29E+15
548.14175	7.08E+16	5.26E+15
549.17456	6.88E+16	5.19E+15
550.8233	7.02E+16	5.19E+15
552.82847	6.82E+16	5.15E+15
554.00693	6.93E+16	5.12E+15
555.69527	6.47E+16	4.99E+15
557.073	6.85E+16	5.00E+15
558.65182	6.48E+16	4.95E+15
559.97145	6.80E+16	4.91E+15
561.7451	6.38E+16	4.79E+15
562.9588	6.36E+16	4.75E+15
565.22766	6.34E+16	4.80E+15
566.88686	6.31E+16	4.65E+15
568.141	6.32E+16	4.76E+15
569.99224	6.22E+16	4.69E+15
571.19073	5.72E+16	4.58E+15
572.78423	5.56E+16	4.35E+15
574.42457	5.44E+16	4.43E+15
575.614	5.35E+16	4.39E+15
576.80245	5.72E+16	4.42E+15
578.18578	5.37E+16	4.26E+15
580.10879	5.05E+16	4.30E+15
581.2883	5.02E+16	4.21E+15
582.81042	5.14E+16	4.21E+15
584.13288	4.76E+16	4.02E+15
585.74618	4.74E+16	4.13E+15
587.45293	4.76E+16	4.18E+15
588.32903	4.77E+16	4.08E+15
590.17477	4.71E+16	4.00E+15
591.43519	4.49E+16	4.01E+15
592.74164	4.73E+16	3.98E+15
594.4318	4.71E+16	3.98E+15
595.68486	4.26E+16	3.87E+15
596.8388	4.09E+16	3.92E+15
598.51959	4.47E+16	3.86E+15
599.91014	4.56E+16	3.94E+15
601.15295	3.98E+16	3.68E+15
602.87174	3.95E+16	3.74E+15
