"cb","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,1,0,0,0,0
8.1397e+17,1,5e-10,5e-10,0,0
3.0657e+18,1,1e-09,1e-09,0,0
6.2177e+18,1,1.5e-09,1.5e-09,0,0
9.6024e+18,1,2e-09,2e-09,0,0
1.2763e+19,1,2.5e-09,2.5e-09,0,0
1.5616e+19,1,3e-09,3e-09,0,0
1.8281e+19,1,3.5e-09,3.5e-09,0,0
2.0871e+19,1,4e-09,4e-09,0,0
2.3435e+19,1,4.5e-09,4.5e-09,0,0
2.5986e+19,1,5e-09,5e-09,0,0
2.8526e+19,1,5.5e-09,5.5e-09,0,0
3.1054e+19,1,6e-09,6e-09,0,0
3.3571e+19,1,6.5e-09,6.5e-09,0,0
3.6077e+19,1,7e-09,7e-09,0,0
3.8571e+19,1,7.5e-09,7.5e-09,0,0
4.1052e+19,1,8e-09,8e-09,0,0
4.3521e+19,1,8.5e-09,8.5e-09,0,0
4.5981e+19,1,9e-09,9e-09,0,0
4.8426e+19,1,9.5e-09,9.5e-09,0,0
5.0861e+19,1,1e-08,1e-08,0,0
5.3283e+19,1,1.05e-08,1.05e-08,0,0
5.5692e+19,1,1.1e-08,1.1e-08,0,0
5.809e+19,1,1.15e-08,1.15e-08,0,0
6.0474e+19,1,1.2e-08,1.2e-08,0,0
6.2847e+19,1,1.25e-08,1.25e-08,0,0
6.5204e+19,1,1.3e-08,1.3e-08,0,0
6.7553e+19,1,1.35e-08,1.35e-08,0,0
6.9884e+19,1,1.4e-08,1.4e-08,0,0
7.2207e+19,1,1.45e-08,1.45e-08,0,0
7.4511e+19,1,1.5e-08,1.5e-08,0,0
7.6808e+19,1,1.55e-08,1.55e-08,0,0
7.9086e+19,1,1.6e-08,1.6e-08,0,0
8.1357e+19,1,1.65e-08,1.65e-08,0,0
8.3607e+19,1,1.7e-08,1.7e-08,0,0
8.5852e+19,1,1.75e-08,1.75e-08,0,0
8.8075e+19,1,1.8e-08,1.8e-08,0,0
9.0293e+19,1,1.85e-08,1.85e-08,0,0
9.2487e+19,1,1.9e-08,1.9e-08,0,0
9.4679e+19,1,1.95e-08,1.95e-08,0,0
9.6845e+19,1,2e-08,2e-08,0,0
9.901e+19,1,2.05e-08,2.05e-08,0,0
1.0115e+20,1,2.1e-08,2.1e-08,0,0
1.0328e+20,1,2.15e-08,2.15e-08,0,0
1.0539e+20,1,2.2e-08,2.2e-08,0,0
1.075e+20,1,2.25e-08,2.25e-08,0,0
1.0958e+20,1,2.3e-08,2.3e-08,0,0
1.1166e+20,1,2.35e-08,2.35e-08,0,0
1.1372e+20,1,2.4e-08,2.4e-08,0,0
1.1577e+20,1,2.45e-08,2.45e-08,0,0
1.1779e+20,1,2.5e-08,2.5e-08,0,0
1.1982e+20,1,2.55e-08,2.55e-08,0,0
1.2181e+20,1,2.6e-08,2.6e-08,0,0
1.2381e+20,1,2.65e-08,2.65e-08,0,0
1.2578e+20,1,2.7e-08,2.7e-08,0,0
1.2774e+20,1,2.75e-08,2.75e-08,0,0
1.2968e+20,1,2.8e-08,2.8e-08,0,0
1.3161e+20,1,2.85e-08,2.85e-08,0,0
1.3353e+20,1,2.9e-08,2.9e-08,0,0
1.3543e+20,1,2.95e-08,2.95e-08,0,0
1.3732e+20,1,3e-08,3e-08,0,0
1.3919e+20,1,3.05e-08,3.05e-08,0,0
1.4105e+20,1,3.1e-08,3.1e-08,0,0
1.4289e+20,1,3.15e-08,3.15e-08,0,0
1.4472e+20,1,3.2e-08,3.2e-08,0,0
1.4653e+20,1,3.25e-08,3.25e-08,0,0
1.4833e+20,1,3.3e-08,3.3e-08,0,0
1.5012e+20,1,3.35e-08,3.35e-08,0,0
1.5189e+20,1,3.4e-08,3.4e-08,0,0
1.5364e+20,1,3.45e-08,3.45e-08,0,0
1.5539e+20,1,3.5e-08,3.5e-08,0,0
1.5711e+20,1,3.55e-08,3.55e-08,0,0
1.5882e+20,1,3.6e-08,3.6e-08,0,0
1.6052e+20,1,3.65e-08,3.65e-08,0,0
1.6221e+20,1,3.7e-08,3.7e-08,0,0
1.6387e+20,1,3.75e-08,3.75e-08,0,0
1.6553e+20,1,3.8e-08,3.8e-08,0,0
1.6716e+20,1,3.85e-08,3.85e-08,0,0
1.688e+20,1,3.9e-08,3.9e-08,0,0
1.704e+20,1,3.95e-08,3.95e-08,0,0
1.72e+20,1,4e-08,4e-08,0,0
1.7358e+20,1,4.05e-08,4.05e-08,0,0
1.7515e+20,1,4.1e-08,4.1e-08,0,0
1.767e+20,1,4.15e-08,4.15e-08,0,0
1.7825e+20,1,4.2e-08,4.2e-08,0,0
1.7976e+20,1,4.25e-08,4.25e-08,0,0
1.8128e+20,1,4.3e-08,4.3e-08,0,0
1.8277e+20,1,4.35e-08,4.35e-08,0,0
1.8426e+20,1,4.4e-08,4.4e-08,0,0
1.8572e+20,1,4.45e-08,4.45e-08,0,0
1.8718e+20,1,4.5e-08,4.5e-08,0,0
1.8861e+20,1,4.55e-08,4.55e-08,0,0
1.9004e+20,1,4.6e-08,4.6e-08,0,0
1.9145e+20,1,4.65e-08,4.65e-08,0,0
1.9285e+20,1,4.7e-08,4.7e-08,0,0
1.9423e+20,1,4.75e-08,4.75e-08,0,0
1.9561e+20,1,4.8e-08,4.8e-08,0,0
1.9696e+20,1,4.85e-08,4.85e-08,0,0
1.983e+20,1,4.9e-08,4.9e-08,0,0
1.9963e+20,1,4.95e-08,4.95e-08,0,0
2.0095e+20,1,5e-08,5e-08,0,0
2.0225e+20,1,5.05e-08,5.05e-08,0,0
2.0353e+20,1,5.1e-08,5.1e-08,0,0
2.0481e+20,1,5.15e-08,5.15e-08,0,0
2.0607e+20,1,5.2e-08,5.2e-08,0,0
2.0731e+20,1,5.25e-08,5.25e-08,0,0
2.0855e+20,1,5.3e-08,5.3e-08,0,0
2.0977e+20,1,5.35e-08,5.35e-08,0,0
2.1097e+20,1,5.4e-08,5.4e-08,0,0
2.1217e+20,1,5.45e-08,5.45e-08,0,0
2.1335e+20,1,5.5e-08,5.5e-08,0,0
2.1451e+20,1,5.55e-08,5.55e-08,0,0
2.1567e+20,1,5.6e-08,5.6e-08,0,0
2.1681e+20,1,5.65e-08,5.65e-08,0,0
2.1793e+20,1,5.7e-08,5.7e-08,0,0
2.1905e+20,1,5.75e-08,5.75e-08,0,0
2.2015e+20,1,5.8e-08,5.8e-08,0,0
2.2124e+20,1,5.85e-08,5.85e-08,0,0
2.2231e+20,1,5.9e-08,5.9e-08,0,0
2.2338e+20,1,5.95e-08,5.95e-08,0,0
2.2443e+20,1,6e-08,6e-08,0,0
2.2547e+20,1,6.05e-08,6.05e-08,0,0
2.2649e+20,1,6.1e-08,6.1e-08,0,0
2.2751e+20,1,6.15e-08,6.15e-08,0,0
2.2851e+20,1,6.2e-08,6.2e-08,0,0
2.295e+20,1,6.25e-08,6.25e-08,0,0
2.3047e+20,1,6.3e-08,6.3e-08,0,0
2.3144e+20,1,6.35e-08,6.35e-08,0,0
2.3239e+20,1,6.4e-08,6.4e-08,0,0
2.3333e+20,1,6.45e-08,6.45e-08,0,0
2.3425e+20,1,6.5e-08,6.5e-08,0,0
2.3517e+20,1,6.55e-08,6.55e-08,0,0
2.3607e+20,1,6.6e-08,6.6e-08,0,0
2.3697e+20,1,6.65e-08,6.65e-08,0,0
2.3784e+20,1,6.7e-08,6.7e-08,0,0
2.3871e+20,1,6.75e-08,6.75e-08,0,0
2.3957e+20,1,6.8e-08,6.8e-08,0,0
2.4042e+20,1,6.85e-08,6.85e-08,0,0
2.4125e+20,1,6.9e-08,6.9e-08,0,0
2.4207e+20,1,6.95e-08,6.95e-08,0,0
2.4288e+20,1,7e-08,7e-08,0,0
2.4368e+20,1,7.05e-08,7.05e-08,0,0
2.4447e+20,1,7.1e-08,7.1e-08,0,0
2.4524e+20,1,7.15e-08,7.15e-08,0,0
2.4601e+20,1,7.2e-08,7.2e-08,0,0
2.4676e+20,1,7.25e-08,7.25e-08,0,0
2.4751e+20,1,7.3e-08,7.3e-08,0,0
2.4824e+20,1,7.35e-08,7.35e-08,0,0
2.4896e+20,1,7.4e-08,7.4e-08,0,0
2.4967e+20,1,7.45e-08,7.45e-08,0,0
2.5037e+20,1,7.5e-08,7.5e-08,0,0
2.5106e+20,1,7.55e-08,7.55e-08,0,0
2.5174e+20,1,7.6e-08,7.6e-08,0,0
2.5241e+20,1,7.65e-08,7.65e-08,0,0
2.5307e+20,1,7.7e-08,7.7e-08,0,0
2.5371e+20,1,7.75e-08,7.75e-08,0,0
2.5435e+20,1,7.8e-08,7.8e-08,0,0
2.5498e+20,1,7.85e-08,7.85e-08,0,0
2.556e+20,1,7.9e-08,7.9e-08,0,0
2.562e+20,1,7.95e-08,7.95e-08,0,0
2.568e+20,1,8e-08,8e-08,0,0
2.5739e+20,1,8.05e-08,8.05e-08,0,0
2.5797e+20,1,8.1e-08,8.1e-08,0,0
2.5853e+20,1,8.15e-08,8.15e-08,0,0
2.5909e+20,1,8.2e-08,8.2e-08,0,0
2.5963e+20,1,8.25e-08,8.25e-08,0,0
2.6018e+20,1,8.3e-08,8.3e-08,0,0
2.607e+20,1,8.35e-08,8.35e-08,0,0
2.6122e+20,1,8.4e-08,8.4e-08,0,0
2.6173e+20,1,8.45e-08,8.45e-08,0,0
2.6223e+20,1,8.5e-08,8.5e-08,0,0
2.6272e+20,1,8.55e-08,8.55e-08,0,0
2.6321e+20,1,8.6e-08,8.6e-08,0,0
2.6367e+20,1,8.65e-08,8.65e-08,0,0
2.6414e+20,1,8.7e-08,8.7e-08,0,0
2.6459e+20,1,8.75e-08,8.75e-08,0,0
2.6504e+20,1,8.8e-08,8.8e-08,0,0
2.6547e+20,1,8.85e-08,8.85e-08,0,0
2.659e+20,1,8.9e-08,8.9e-08,0,0
2.6632e+20,1,8.95e-08,8.95e-08,0,0
2.6673e+20,1,9e-08,9e-08,0,0
2.6713e+20,1,9.05e-08,9.05e-08,0,0
2.6753e+20,1,9.1e-08,9.1e-08,0,0
2.6791e+20,1,9.15e-08,9.15e-08,0,0
2.6829e+20,1,9.2e-08,9.2e-08,0,0
2.6865e+20,1,9.25e-08,9.25e-08,0,0
2.6901e+20,1,9.3e-08,9.3e-08,0,0
2.6937e+20,1,9.35e-08,9.35e-08,0,0
2.6971e+20,1,9.4e-08,9.4e-08,0,0
2.7004e+20,1,9.45e-08,9.45e-08,0,0
2.7037e+20,1,9.5e-08,9.5e-08,0,0
2.7069e+20,1,9.55e-08,9.55e-08,0,0
2.71e+20,1,9.6e-08,9.6e-08,0,0
2.713e+20,1,9.65e-08,9.65e-08,0,0
2.716e+20,1,9.7e-08,9.7e-08,0,0
2.7189e+20,1,9.75e-08,9.75e-08,0,0
2.7217e+20,1,9.8e-08,9.8e-08,0,0
2.7244e+20,1,9.85e-08,9.85e-08,0,0
2.727e+20,1,9.9e-08,9.9e-08,0,0
2.7296e+20,1,9.95e-08,9.95e-08,0,0
2.7321e+20,1,1e-07,1e-07,0,0
