K	Des He	K	Des He	K	Des He	K	Des He	K	Des He	K	Des He	Err Des He	err Des He	err Des He
T sample	He m-2 s-1	T sample	He m-2 s-1	T sample	He m-2 s-1	T Sample	He m-2 s-1	T sample	He m-2 s-1	T sample	He m-2 s-1	Col(J)*1/(2.24787E-8*3.04E-5*0.06)	He m-2 s-1	He m-2 s-1
19032001	19032001	19032002	19032002	19032101	19032101	19032201	19032201	19032202	19032202	19032501	19032501	19032001	19032002	19032101
316.253818230052	0	324.261982503763	0	322.144011212744	0	320.296830430081	0	324.125710507576	0	326.447155458318	0	0	536200665279608	607295159397521
316.597382609618	0	324.261982503763	0	322.486578579372	0	320.501641074848	0	324.057570787787	0	326.788932074874	0	77126562370086.1	405678875348151	726246689430234
316.597382609618	0	323.716835072299	0	322.144011212744	0	320.433373201706	0	324.261982503763	0	326.788932074874	0	0	473350204535721	561489849436674
316.940891589718	0	323.853136771756	0	321.871153934096	0	320.776240391162	0	323.989428590215	0	326.856970346427	0	0	427107562298798	743781631893051
316.185409688648	0	323.784987155896	0	322.212219521663	0	320.639721191514	0	324.125710507576	0	326.447155458318	0	0	410537478174355	652923916943559
316.3222245888	0	324.19384774707	0	322.348628908791	0	320.501641074848	0	324.331663206957	0	326.515206650755	0	0	483709203798163	594091513404786
316.3222245888	0	323.510814932776	0	322.212219521663	0	320.433373201706	0	323.784987155896	0	326.65130133057	0	109073430522990	385632811850430	621814225067858
316.116998967245	0	323.989428590215	0	322.144011212744	0	320.091998747977	0	323.989428590215	0	326.515206650755	0	0	359004610228866	692709319212727
316.460585312848	0	323.921283917367	0	322.348628908791	0	320.569906602773	0	323.578974460368	0	326.58325527566	0	0	302010653597536	669418279006495
316.048586068499	0	323.578974460368	0	322.212219521663	0	320.433373201706	0	323.921283917367	0	326.447155458318	0	0	380456297744763	648352631439013
316.528985057895	0	323.853136771756	0	322.075800496982	0	320.501641074848	0	323.510814932776	0	326.447155458318	0	77126562370086.1	412945343268050	600729613439877
316.3222245888	0	323.784987155896	0	322.075800496982	0	320.296830430081	0	323.648680523481	0	326.856970346427	0	0	412945343268050	768690439137017
316.3222245888	0	323.578974460368	0	322.418379978224	0	320.433373201706	0	324.057570787787	0	326.515206650755	0	0	321103485083025	702656423660399
316.392183377127	0	324.261982503763	0	322.486578579372	0	320.160278308527	0	324.057570787787	0	327.334711755433	0	0	403227621031511	605660445370714
315.911753749609	0	323.989428590215	0	322.280425421193	0	320.569906602773	0	323.921283917367	0	326.379101700814	0	0	503788595791074	634441183109051
316.185409688648	0	323.989428590215	0	322.075800496982	0	320.160278308527	0	324.19384774707	0	326.925006038088	0	0	456286896377638	678246154072451
316.116998967245	0	323.306321614423	0	321.871153934096	0	320.160278308527	0	323.989428590215	0	327.402729260088	0	0	523097796458016	828288052062257
316.116998967245	0	323.989428590215	0	322.212219521663	0	320.091998747977	0	323.784987155896	0	327.810779611573	0	0	405678875348151	940396007695684
316.048586068499	0	323.989428590215	0	322.007587376921	0	320.02216496949	0	324.057570787787	0	328.697654526172	0	0	377841446843306	983678679250677
315.774912753256	0	323.921283917367	0	322.144011212744	0	319.885594104376	0	324.261982503763	0	329.378728438678	0	77126562370086.1	427107562298798	769979108003372
316.392183377127	0	323.921283917367	0	322.554774760908	0	320.160278308527	0	324.261982503763	0	331.01313240673	0	0	350622023755715	886116738494164
316.185409688648	0	323.306321614423	0	322.144011212744	0	320.296830430081	0	324.261982503763	0	332.169688444295	0	0	361755643641656	742447493362649
316.253818230052	0	323.648680523481	0	321.93937185511	0	320.84449645892	0	325.150602764264	0	333.93534873465	0	0	361755643641656	694139061330775
316.802562078365	0	323.853136771756	0	322.144011212744	0	320.569906602773	0	326.037247527022	0	335.294493864994	0	0	339123077036225	698410726641706
317.214415451602	0	323.648680523481	0	322.280425421193	0	320.981001517454	0	326.447155458318	0	336.583302637607	0	77126562370086.1	427107562298798	724880278644250
318.311260436735	0	323.989428590215	0	322.691159854993	0	321.596707656462	0	327.538756468258	0	338.141374780114	0	77126562370086.1	403227621031511	760912595489526
319.26935810772	0	324.057570787787	0	323.510814932776	0	322.348628908791	0	328.765619455811	0	339.427822602746	0	77126562370086.1	412945343268050	747769765746461
320.160278308527	0	324.057570787787	0	324.60416716271	0	323.853136771756	0	329.787861677152	0	341.11941386194	0	109073430522990	493850960861774	686960594765176
321.392010708654	0	324.19384774707	0	325.014395972349	0	325.628794436549	0	331.148876249645	0	342.809076519827	0	0	255799868751519	791565556955847
322.622968520294	0	323.716835072299	0	326.311045380708	0	326.447155458318	0	332.917167196748	0	344.496776327945	0	0	359004610228866	781481507542405
323.989428590215	0	323.921283917367	0	327.129097609167	0	327.810779611573	0	334.207885362194	0	345.912108184532	0	0	467024527740227	954002889577960
326.106861069453	0	323.853136771756	0	329.378728438678	0	329.85578382106	0	335.83752108693	0	347.528971839359	0	0	302010653597536	942502160407072
327.061069671913	0	323.989428590215	0	330.331163456434	0	331.216744073447	0	337.803464606812	0	349.278053442676	0	0	440815021317190	965366616511155
328.765619455811	0	323.853136771756	0	331.557584228202	0	332.576605389291	0	339.225256185471	0	351.024875299991	0	0	458454542290668	1.07793396227748E15
330.875834922309	0	323.853136771756	0	333.052755912689	0	334.140140428193	0	340.44331354675	0	351.829743675187	0	0	458454542290668	970487960759555
332.100317646354	0	323.648680523481	0	334.478836689932	0	335.632946233698	0	342.201144836052	0	354.645164489434	0	0	361755643641656	1.18316604580773E15
333.664306466549	0	323.716835072299	0	336.380362041184	0	337.531546781907	0	343.687600757768	0	355.649506679968	0	109073430522990	377841446843306	1.279774260123E15
335.497573931296	0	323.716835072299	0	337.803464606812	0	338.615859480605	0	345.238244610883	0	357.186335344922	0	0	361755643641656	1.22191454790412E15
337.261117866986	0	324.331663206957	0	339.225256185471	0	340.782168657754	0	346.990226451177	0	359.456279134779	0	77126562370086.1	311703290822278	1.31039519936305E15
338.887585377767	0	323.989428590215	0	341.390687273663	0	342.100053567654	0	348.000392009316	0	361.322043956844	0	0	333224834453406	1.40036579151943E15
340.375839996086	0	323.648680523481	0	342.606971203583	0	344.091480902513	0	350.217995764878	0	363.184915620166	0	0	477520771502169	1.4848949867253E15
342.403306413251	0	324.125710507576	0	344.698616359899	0	345.441507265948	0	352.29965688808	0	364.846200562311	0	0	393269846541400	1.51986953561001E15
344.091480902513	0	323.921283917367	0	346.18247953822	0	347.124550897887	0	353.237457821772	0	366.372853481152	0	0	479592454858326	1.62393696600018E15
345.372737464154	0	324.125710507576	0	347.461830906691	0	348.739996221313	0	354.778717815305	0	368.29369945617	0	77126562370086.1	388195184303822	1.7643842550261E15
347.124550897887	0	323.510814932776	0	349.479198383693	0	350.48751737541	0	356.584861898328	0	369.947607648538	0	0	462759374220516	1.85157302054346E15
348.941221076044	0	323.442652947574	0	350.755462320907	0	352.232753950675	0	358.321828696852	0	371.92816463814	0	0	487791210377013	1.79723095241083E15
350.957907682468	0	323.578974460368	0	352.769401627811	0	353.573199401092	0	360.189330826419	0	373.839461089645	0	0	377841446843306	1.97741034863015E15
351.963587209536	0	323.169980481094	0	354.376497988736	0	355.381051730378	0	361.987581695868	0	375.880021052508	0	77126562370086.1	536200665279608	2.10514546626948E15
354.376497988736	0	323.101806245675	0	355.916388556566	0	357.252979586712	0	363.783128637455	0	377.718839209643	0	0	497849819349285	2.13924856635422E15
355.849673364641	0	323.306321614423	0	357.52103521757	0	358.989012472054	0	365.77596917997	0	378.964725212848	0	0	530624770269225	2.25828541408631E15
357.720903543641	0	324.261982503763	0	359.790363587011	0	360.656137304802	0	367.233804710416	0	380.993889307693	0	77126562370086.1	513533958910399	2.3030599367361E15
359.256691888006	0	323.784987155896	0	361.655613632057	0	362.45369008095	0	369.153196119444	0	382.890273854054	0	0	458454542290668	2.42264178148286E15
361.322043956844	0	324.19384774707	0	363.317543183761	0	364.24852970358	0	370.937580907933	0	385.173055783726	0	140813193309751	380456297744763	2.39382428626576E15
363.317543183761	0	324.057570787787	0	364.978640284457	0	365.908302696662	0	372.852102767523	0	386.018900440013	0	0	427107562298798	2.52483984924662E15
365.111064925312	0	324.057570787787	0	366.172924180395	0	367.697818042015	0	374.300716189586	0	388.555025567337	0	77126562370086.1	385632811850430	2.64264011462655E15
366.637368103302	0	325.150602764264	0	368.227672629088	0	369.682366929538	0	376.471471790329	0	390.175507013989	0	0	291996452484245	2.62759078887735E15
368.49175679434	0	325.491075637461	0	369.881677989334	0	371.26837327067	0	378.046065283428	0	392.505843429933	0	0	485754494966400	2.74928519479628E15
370.343103693149	0	327.197122956711	0	371.796537201624	0	373.049347439327	0	380.40499721177	0	393.604456410963	0	0	456286896377638	2.87479712935108E15
372.587559534777	0	327.538756468258	0	373.708064361809	0	374.56484135405	0	381.517229500019	0	395.990597002922	0	77126562370086.1	427107562298798	2.91758684147556E15
374.300716189586	0	329.037452666518	0	375.419444986677	0	377.324544981038	0	383.738052799468	0	397.471533747331	0	77126562370086.1	420086137773903	2.95674177098852E15
376.27336506243	0	329.92370327791	0	377.324544981038	0	378.636300638538	0	385.432938268097	0	399.719725976704	0	77126562370086.1	420086137773903	2.97779121823407E15
378.112985294169	0	331.352471513863	0	379.095471738322	0	380.471765181072	0	387.060080446114	0	401.450116276143	0	0	511599737503039	3.05567874008559E15
379.554439868309	0	332.849368646461	0	380.602321119712	0	382.497953554338	0	389.139123774534	0	403.240908999207	0	77126562370086.1	550793825105516	3.10268698898202E15
381.909928971955	0	333.664306466549	0	382.955399091195	0	383.934730040305	0	390.500157786275	0	405.4111016112	0	0	566762170264959	3.19649050410274E15
383.999787705548	0	335.565261524874	0	384.390044962364	0	386.213652294241	0	392.570330709412	0	407.447630596306	0	0	578877540098516	3.19307694111305E15
385.692752697765	0	337.261117866986	0	386.213652294241	0	387.384302170633	0	394.573099681454	0	409.861861787734	0	77126562370086.1	617012498960689	3.25580079277491E15
387.384302170633	0	338.750960892801	0	388.035368445851	0	389.20383842198	0	396.120547669361	0	412.773732384916	0	77126562370086.1	573716567485620	3.47925437096219E15
389.333254724154	0	340.036892743583	0	389.333254724154	0	391.601093550577	0	399.014123739572	0	414.415380302922	0	109073430522990	626579154712130	3.50310850007593E15
391.923793724483	0	341.52553914219	0	391.730186761388	0	393.346763550879	0	400.424778362837	0	416.053801101977	0	109073430522990	663467776236331	3.50395742981094E15
393.087535351455	-73168681556551.9	343.01115372399	0	393.927936584895	0	395.540739315771	0	402.601857113098	0	417.562216960005	0	77126562370086.1	652923916943559	3.55814627711425E15
395.669292358658	0	344.901956503661	0	395.990597002922	0	397.40738490482	0	404.326673812455	0	419.696054205407	0	109073430522990	698410726641706	3.66790664354282E15
397.343231577171	-146337363113104	346.518461450259	0	397.535678103565	0	399.206218312346	0	405.984582516279	0	421.448714349485	0	0	775112358903988	3.65816307267312E15
399.398272235089	243895605188506	348.000392009316	0	399.526285585493	0	401.001493443647	0	408.591528618785	0	423.76034792347	0	178116166184159	862301181651949	3.73327617753519E15
401.258499033555	-73168681556551.9	349.748868395188	0	401.450116276143	0	403.177169384481	0	410.305961097799	0	425.938427940641	0	77126562370086.1	803992777560166	3.81731036082666E15
403.368374474792	-73168681556551.9	351.225757876038	0	403.304644029655	0	405.4111016112	0	412.710693154609	0	427.802583291666	0	77126562370086.1	830678498741304	3.9392475098597E15
405.538253266839	170726923631954	353.036882932687	0	405.028090182812	0	407.575926361996	0	414.792774931533	0	430.155976714361	0	160551742541512	1.00363362579805E15	3.83105059670948E15
407.829578798164	170726923631954	354.845489246348	0	407.257314203512	0	409.162908035741	0	416.682881191505	0	432.133124294523	0	160551742541512	977612771380521	3.83983920014138E15
410.305961097799	341453847263909	356.384811847828	0	409.798605541475	0	411.635434694062	0	418.002243644029	0	434.22652351109	0	199139927739714	939341160467789	3.9442778369121E15
412.330925148497	341453847263909	358.388412009994	0	412.267852747185	0	413.531265572571	0	420.197404884295	0	436.254361476744	0	199139927739714	1.01150538266517E15	3.9180496115403E15
413.847537040477	0	360.056356292654	0	414.09932378523	0	415.612731528605	0	422.199700773369	0	438.154674458378	0	109073430522990	1.04619559291603E15	3.93320262520908E15
416.242147470914	170726923631954	361.388463412769	0	415.487076479468	0	417.248785384718	0	424.257754200894	0	439.987890400677	0	160551742541512	1.0770138306866E15	3.9832963735019E15
418.002243644029	487791210377013	363.983469533483	0	417.311481273812	0	419.00672425753	0	425.62824510969	0	442.121617174875	0	227054451764840	1.06776890574699E15	3.97183075725376E15
419.821065826696	731686815565519	365.443564764919	0	419.06928551221	0	421.074376233908	0	428.175163326479	0	443.884452981582	0	267174249276238	1.21050215398635E15	4.07921020053477E15
421.761946873353	414622528820461	366.969427878551	0	421.199174938704	0	423.385674833999	0	429.909177547857	0	446.188043446142	0	213553781149399	1.29670526287803E15	4.01725011273528E15
423.822540729397	585349452452415	368.028068111153	0	423.323447903327	0	425.00610215418	0	432.133124294523	0	448.123107001143	0	243895605188506	1.27356172702594E15	4.009592319239E15
425.938427940641	414622528820461	370.474904464518	0	425.192373191418	0	427.678819262467	0	433.919646727797	0	450.293161050143	0	213553781149399	1.39540119724428E15	4.12440857654956E15
427.553628882951	487791210377013	372.39023130544	0	426.99495128827	0	429.22726640303	0	436.009527326941	0	451.916382518739	0	227054451764840	1.35209998476822E15	4.0514087190102E15
429.84606284392	902413739197474	373.905153464748	0	429.103728624723	0	431.329995940707	0	438.031189504781	0	453.535897227365	0	291996452484245	1.41935228525728E15	4.00637663038153E15
432.008652488651	902413739197474	376.142266578732	0	431.391589524561	0	433.242685269922	0	439.866093382438	0	456.107763690115	0	291996452484245	1.32842900882883E15	4.12272558600843E15
433.981032000216	658518134008967	377.915187118277	0	433.181240435224	0	435.087904778403	0	441.634333610046	0	457.836454872549	0	255799868751519	1.53350674978514E15	4.11261317957405E15
435.70198085126	1.31703626801793E15	379.619778015153	0	435.026609039366	0	437.29679612743	0	443.823878583676	0	459.858385924361	0	344920472660780	1.50017276973192E15	4.12224460536326E15
437.786934463169	731686815565519	381.452011920006	0	437.052301382936	0	438.827239313634	0	445.643043668207	0	461.874416432422	0	267174249276238	1.55660689678316E15	4.09473531925709E15
439.744276363486	1.31703626801793E15	383.215858018191	0	439.13212029698	0	441.512807586879	0	447.760335724413	0	463.647656288446	0	344920472660780	1.66731383623315E15	4.21240967339228E15
441.695089104949	658518134008967	384.911628146607	0	441.330480974242	0	443.398339602355	0	449.389315783204	0	465.887433857961	0	255799868751519	1.65777262006536E15	4.16745203975969E15
444.005586704695	1.14630934438598E15	386.604515348473	0	442.790588070362	0	445.159476958034	0	451.736661454233	0	467.651593705725	0	324176315719506	1.760446520232E15	4.18738757331369E15
445.825671111126	2.53651429396047E15	388.943482729445	0	444.795215708501	0	447.15622407141	0	452.996471090625	0	469.351426602933	0	467024527740227	1.75593543909475E15	4.1349716891558E15
447.519299742507	1.8779961599515E15	390.69401443343	0	446.611953508079	0	448.846733307466	0	455.151701503815	0	471.572391946392	0	405678875348151	1.79943614459296E15	4.23751798336914E15
449.751264211771	1.21947802594253E15	392.441351755585	0	448.726407489667	0	450.413223543749	0	456.823277687118	0	473.379751818467	0	333224834453406	1.89025650240862E15	4.08309701437561E15
451.435662905763	1.8779961599515E15	394.38003628948	0	450.534629822278	0	452.996471090625	0	458.907465220983	0	475.065094623063	0	405678875348151	1.83327745909072E15	4.1667382923666E15
453.715161698924	1.70726923631954E15	396.184786199469	0	452.39677650131	0	454.972802851218	0	460.748854964401	0	476.978461363061	0	388195184303822	2.00776110502996E15	4.09618778231877E15
455.808626775992	585349452452415	398.500216803228	0	454.613512554146	0	457.003055289729	0	462.407004692996	0	478.88497892408	0	243895605188506	1.99736454071608E15	4.11646845408322E15
457.181435354565	1.21947802594253E15	400.296892230356	0	456.882758114283	0	458.670204990983	0	464.827264711861	0	480.615042108896	0	333224834453406	2.05268739087177E15	4.12224460536326E15
459.323822228073	1.80482747839495E15	402.153812243392	0	458.312813388064	0	460.629206216579	0	466.18222442991	0	483.257459832238	0	398279855479428	1.9389317125038E15	4.15148244877051E15
461.162759924792	1.70726923631954E15	403.879500372332	0	460.214980527938	0	462.82125194303	0	468.472142593577	0	484.746488135452	0	388195184303822	2.08384496419708E15	4.10344238588137E15
462.880218230328	1.95116484150805E15	405.155297450534	0	461.992506931221	0	464.592041020004	0	470.462829790466	0	486.060011314747	0	412945343268050	2.10890969898737E15	4.09473531925709E15
465.122515714568	1.70726923631954E15	408.591528618785	0	463.884544144278	0	466.416898106538	0	472.155563210455	0	487.657505071903	0	388195184303822	2.10373214253429E15	4.20557879795393E15
467.416016903034	2.36578737032851E15	410.432393658975	0	465.887433857961	0	468.765807812294	0	473.961342794512	0	489.193096433491	0	451920414148243	2.08669759382034E15	4.11502314941438E15
469.058016996922	2.92674726226208E15	412.899796664111	0	467.768686047432	0	470.462829790466	0	475.587352240108	0	491.347806805761	0	499837251680109	2.25080981144072E15	4.01305248708193E15
471.28127696237	3.02430550433748E15	414.857086494114	0	469.819819706258	0	472.680113744252	0	477.729935568693	0	492.987253602576	0	507709188740129	2.24375119802122E15	4.06850231612844E15
473.263636432893	3.02430550433748E15	416.620137374712	0	471.688802423609	0	474.426512429491	0	479.635582936776	0	495.24276160734	0	507709188740129	2.23799968199027E15	4.14622528820461E15
474.310579983707	2.85357858070552E15	418.567238253662	0	473.787314541172	0	476.109197574902	0	481.24764493264	0	497.096115950123	0	493850960861774	2.25389100359021E15	4.06557708939954E15
