"ib","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-52398,1,0,0,0,0
2.605e+06,1,5e-10,5e-10,0,0
6.6078e+06,1,1e-09,1e-09,0,0
1.0329e+07,1,1.5e-09,1.5e-09,0,0
1.2842e+07,1,2e-09,2e-09,0,0
1.4061e+07,1,2.5e-09,2.5e-09,0,0
1.4465e+07,1,3e-09,3e-09,0,0
1.4529e+07,1,3.5e-09,3.5e-09,0,0
1.4498e+07,1,4e-09,4e-09,0,0
1.4449e+07,1,4.5e-09,4.5e-09,0,0
1.4397e+07,1,5e-09,5e-09,0,0
1.4346e+07,1,5.5e-09,5.5e-09,0,0
1.4294e+07,1,6e-09,6e-09,0,0
1.4243e+07,1,6.5e-09,6.5e-09,0,0
1.4192e+07,1,7e-09,7e-09,0,0
1.4141e+07,1,7.5e-09,7.5e-09,0,0
1.4091e+07,1,8e-09,8e-09,0,0
1.404e+07,1,8.5e-09,8.5e-09,0,0
1.399e+07,1,9e-09,9e-09,0,0
1.3939e+07,1,9.5e-09,9.5e-09,0,0
1.3889e+07,1,1e-08,1e-08,0,0
1.3839e+07,1,1.05e-08,1.05e-08,0,0
1.379e+07,1,1.1e-08,1.1e-08,0,0
1.374e+07,1,1.15e-08,1.15e-08,0,0
1.3691e+07,1,1.2e-08,1.2e-08,0,0
1.3641e+07,1,1.25e-08,1.25e-08,0,0
1.3592e+07,1,1.3e-08,1.3e-08,0,0
1.3543e+07,1,1.35e-08,1.35e-08,0,0
1.3494e+07,1,1.4e-08,1.4e-08,0,0
1.3446e+07,1,1.45e-08,1.45e-08,0,0
1.3397e+07,1,1.5e-08,1.5e-08,0,0
1.3349e+07,1,1.55e-08,1.55e-08,0,0
1.3301e+07,1,1.6e-08,1.6e-08,0,0
1.3253e+07,1,1.65e-08,1.65e-08,0,0
1.3205e+07,1,1.7e-08,1.7e-08,0,0
1.3157e+07,1,1.75e-08,1.75e-08,0,0
1.3109e+07,1,1.8e-08,1.8e-08,0,0
1.3062e+07,1,1.85e-08,1.85e-08,0,0
1.3015e+07,1,1.9e-08,1.9e-08,0,0
1.2967e+07,1,1.95e-08,1.95e-08,0,0
1.292e+07,1,2e-08,2e-08,0,0
1.2873e+07,1,2.05e-08,2.05e-08,0,0
1.2827e+07,1,2.1e-08,2.1e-08,0,0
1.278e+07,1,2.15e-08,2.15e-08,0,0
1.2734e+07,1,2.2e-08,2.2e-08,0,0
1.2687e+07,1,2.25e-08,2.25e-08,0,0
1.2641e+07,1,2.3e-08,2.3e-08,0,0
1.2595e+07,1,2.35e-08,2.35e-08,0,0
1.255e+07,1,2.4e-08,2.4e-08,0,0
1.2504e+07,1,2.45e-08,2.45e-08,0,0
1.2458e+07,1,2.5e-08,2.5e-08,0,0
1.2413e+07,1,2.55e-08,2.55e-08,0,0
1.2368e+07,1,2.6e-08,2.6e-08,0,0
1.2323e+07,1,2.65e-08,2.65e-08,0,0
1.2278e+07,1,2.7e-08,2.7e-08,0,0
1.2233e+07,1,2.75e-08,2.75e-08,0,0
1.2188e+07,1,2.8e-08,2.8e-08,0,0
1.2144e+07,1,2.85e-08,2.85e-08,0,0
1.21e+07,1,2.9e-08,2.9e-08,0,0
